Name,Nationality,Years,Link
"Wach, Aloys",Austrian,1892 - 1940,https://web.archive.org/web/20121007173001/http://www.nga.gov/cgi-bin/tsearch?artistid=3332
"Wachlmayr, Aloys",Austrian,1892 - 1940,https://web.archive.org/web/20121007173001/http://www.nga.gov/cgi-bin/tsearch?artistid=3332
"Wachsmann, Anton",German,c. 1765 - c. 1836,https://web.archive.org/web/20121007173001/http://www.nga.gov/cgi-bin/tsearch?artistid=5623
"Wachsmuth, Jeremias",German,1711 - 1771,https://web.archive.org/web/20121007173001/http://www.nga.gov/cgi-bin/tsearch?artistid=22046
"Wachter, Jorg",German,c. 1526 - 1586,https://web.archive.org/web/20121007173001/http://www.nga.gov/cgi-bin/tsearch?artistid=3371
"Wachtle I, Hans",German,1480/1485 - 1526 or after,https://web.archive.org/web/20121007173001/http://www.nga.gov/cgi-bin/tsearch?artistid=2801
"Wacquez, Adolphe André",French,1814 - 1865 or after,https://web.archive.org/web/20121007173001/http://www.nga.gov/cgi-bin/tsearch?artistid=3333
"Waddell, Harry Mann",American,active c. 1935,https://web.archive.org/web/20121007173001/http://www.nga.gov/cgi-bin/tsearch?artistid=8173
"Wade, Elizabeth Flint",NA,NA,https://web.archive.org/web/20121007173001/http://www.nga.gov/cgi-bin/tsearch?artistid=30068
"Waechter, Georg Christian",German,1729 - 1789,https://web.archive.org/web/20121007173001/http://www.nga.gov/cgi-bin/tsearch?artistid=27288
"Wael, Jan Baptist de",Flemish,1632 - after 1669,https://web.archive.org/web/20121007173001/http://www.nga.gov/cgi-bin/tsearch?artistid=24035
"Wagenbauer, Max Joseph",German,1774 - 1829,https://web.archive.org/web/20121007173001/http://www.nga.gov/cgi-bin/tsearch?artistid=3334
Wagguno,,active 1858,https://web.archive.org/web/20121007173001/http://www.nga.gov/cgi-bin/tsearch?artistid=1962
Hans Heinrich Wägmann,Swiss,1557 - 1628,https://web.archive.org/web/20121007173001/http://www.nga.gov/cgi-bin/tsearch?artistid=34456
"Wagner, Carl",German,1796 - 1867,https://web.archive.org/web/20121007173001/http://www.nga.gov/cgi-bin/tsearch?artistid=14245
"Wagner, Giuseppe",German,1706 - 1780,https://web.archive.org/web/20121007173001/http://www.nga.gov/cgi-bin/tsearch?artistid=3335
"Wagner, Johann Christoph",German,active 1684/1685,https://web.archive.org/web/20121007173001/http://www.nga.gov/cgi-bin/tsearch?artistid=11594
"Wagner, Johann Michael",German,,https://web.archive.org/web/20121007173001/http://www.nga.gov/cgi-bin/tsearch?artistid=34755
"Wagner, Joseph",German,1706 - 1780,https://web.archive.org/web/20121007173001/http://www.nga.gov/cgi-bin/tsearch?artistid=3335
"Wagner, Karl Ernest Ludwig",German,1796 - 1867,https://web.archive.org/web/20121007173001/http://www.nga.gov/cgi-bin/tsearch?artistid=14245
"Wagner, Morgan",American,1917 - 1950,https://web.archive.org/web/20121007173001/http://www.nga.gov/cgi-bin/tsearch?artistid=35142
"Wagner, Stephanie",active second half 20th century,,https://web.archive.org/web/20121007173001/http://www.nga.gov/cgi-bin/tsearch?artistid=25881
"Wagner, Théo",French,active late 19th century,https://web.archive.org/web/20121007173001/http://www.nga.gov/cgi-bin/tsearch?artistid=27271
"Wagner, Théophile Pierre",French,active late 19th century,https://web.archive.org/web/20121007173001/http://www.nga.gov/cgi-bin/tsearch?artistid=27271
"Wahl, Theodore",American,1903 - 1990,https://web.archive.org/web/20121007173001/http://www.nga.gov/cgi-bin/tsearch?artistid=34111
"Wakita, Kazu",Japanese,born 1908,https://web.archive.org/web/20121007173001/http://www.nga.gov/cgi-bin/tsearch?artistid=3355
"Wakkerdak, Pieter Anthony",Dutch,1729 - 1774,https://web.archive.org/web/20121007173001/http://www.nga.gov/cgi-bin/tsearch?artistid=6556
"Wakoski, Diane",American,born 1937,https://web.archive.org/web/20121007173001/http://www.nga.gov/cgi-bin/tsearch?artistid=10589
"Xanto, fra",Italian,active 1530/1542,https://web.archive.org/web/20121007173059/http://www.nga.gov/cgi-bin/tsearch?artistid=2336
"Xanto Avelli, Francesco",Italian,active 1530/1542,https://web.archive.org/web/20121007173059/http://www.nga.gov/cgi-bin/tsearch?artistid=2336
"Xceron, Jean",American,1890 - 1967,https://web.archive.org/web/20121007173059/http://www.nga.gov/cgi-bin/tsearch?artistid=22354
"Yacobson, Alexandra Nikolaevna",Russian,born 1903,https://web.archive.org/web/20121007173010/http://www.nga.gov/cgi-bin/tsearch?artistid=3437
"Yakushin, Anatolii Borisovich",Russian,born 1944,https://web.archive.org/web/20121007173010/http://www.nga.gov/cgi-bin/tsearch?artistid=3438
"Yamaguchi, Gen",Japanese,born 1903,https://web.archive.org/web/20121007173010/http://www.nga.gov/cgi-bin/tsearch?artistid=3439
"Yamamoto, Thomas",American,1917 - 2004,https://web.archive.org/web/20121007173010/http://www.nga.gov/cgi-bin/tsearch?artistid=34200
"Yamamoto, Tom",American,1917 - 2004,https://web.archive.org/web/20121007173010/http://www.nga.gov/cgi-bin/tsearch?artistid=34200
"Yancey, Baye M.",American,1935 - 1942,https://web.archive.org/web/20121007173010/http://www.nga.gov/cgi-bin/tsearch?artistid=11577
"Yáñez de la Almedina, Fernando",Spanish,active 1505/1531,https://web.archive.org/web/20121007173010/http://www.nga.gov/cgi-bin/tsearch?artistid=6627
"Yanosko, George",American,active c. 1935,https://web.archive.org/web/20121007173010/http://www.nga.gov/cgi-bin/tsearch?artistid=8227
"Yates, Mrs.",British (?),probably active 18th century,https://web.archive.org/web/20121007173010/http://www.nga.gov/cgi-bin/tsearch?artistid=3440
"Yau, John",American,born 1950,https://web.archive.org/web/20121007173010/http://www.nga.gov/cgi-bin/tsearch?artistid=25001
"Yavno, Max",American,1911 - 1985,https://web.archive.org/web/20121007173010/http://www.nga.gov/cgi-bin/tsearch?artistid=17842
"Ycaza, Ana Rosa de",American,born 1915,https://web.archive.org/web/20121007173010/http://www.nga.gov/cgi-bin/tsearch?artistid=35389
"Yeates, George",English,active second half 17th century,https://web.archive.org/web/20121007173010/http://www.nga.gov/cgi-bin/tsearch?artistid=6333
"Yeates, Nicholas",English,active 1680,https://web.archive.org/web/20121007173010/http://www.nga.gov/cgi-bin/tsearch?artistid=6334
"Yeckley, N.H.",American,active c. 1935,https://web.archive.org/web/20121007173010/http://www.nga.gov/cgi-bin/tsearch?artistid=8228
"Yencesse, Ovide",French,1869 - 1947,https://web.archive.org/web/20121007173010/http://www.nga.gov/cgi-bin/tsearch?artistid=28153
"Yeo, Richard",British,c. 1710 - 1779,https://web.archive.org/web/20121007173010/http://www.nga.gov/cgi-bin/tsearch?artistid=23141
"Yersin, Albert Edgar",Swiss,1905 - 1984,https://web.archive.org/web/20121007173010/http://www.nga.gov/cgi-bin/tsearch?artistid=3441
"Yewell, J. Floyd",American,1885 - 1963,https://web.archive.org/web/20121007173010/http://www.nga.gov/cgi-bin/tsearch?artistid=34153
"Yochim, Maurice",American,1908 - 1986,https://web.archive.org/web/20121007173010/http://www.nga.gov/cgi-bin/tsearch?artistid=34278
"Yoder, Andy",American,born 1954,https://web.archive.org/web/20121007173010/http://www.nga.gov/cgi-bin/tsearch?artistid=27224
"York, Emily",American,active 21st century,https://web.archive.org/web/20121007173010/http://www.nga.gov/cgi-bin/tsearch?artistid=30908
"Yoshida, Chizuko",Japanese,born 1924,https://web.archive.org/web/20121007173010/http://www.nga.gov/cgi-bin/tsearch?artistid=3442
"Yoshida, Hodaka",Japanese,born 1926,https://web.archive.org/web/20121007173010/http://www.nga.gov/cgi-bin/tsearch?artistid=3443
"Yoshida, Masaji",Japanese,born 1917,https://web.archive.org/web/20121007173010/http://www.nga.gov/cgi-bin/tsearch?artistid=3444
"Yoshida, Toshi",Japanese,born 1911,https://web.archive.org/web/20121007173010/http://www.nga.gov/cgi-bin/tsearch?artistid=3445
"Yoshinaga, Yutaka",Japanese,born 1948,https://web.archive.org/web/20121007173010/http://www.nga.gov/cgi-bin/tsearch?artistid=26325
"Young, Alfred",American,active 20th century,https://web.archive.org/web/20121007173010/http://www.nga.gov/cgi-bin/tsearch?artistid=5845
"Zabaglia, Niccola",Italian,1664 - 1750,https://web.archive.org/web/20121007172955/https://www.nga.gov/cgi-bin/tsearch?artistid=11630
"Zaccone, Fabian",American,1910 - 1992,https://web.archive.org/web/20121007172955/https://www.nga.gov/cgi-bin/tsearch?artistid=34202
"Zadkine, Ossip",French,1890 - 1967,https://web.archive.org/web/20121007172955/https://www.nga.gov/cgi-bin/tsearch?artistid=3475
"Zaech, Bernhard",German,active c. 1650,https://web.archive.org/web/20121007172955/https://www.nga.gov/cgi-bin/tsearch?artistid=25135
"Zagar, Jacob",Flemish,c. 1530 - after 1580,https://web.archive.org/web/20121007172955/https://www.nga.gov/cgi-bin/tsearch?artistid=2298
"Zagroba, Idalia",Polish,born 1967,https://web.archive.org/web/20121007172955/https://www.nga.gov/cgi-bin/tsearch?artistid=23988
"Zaidenberg, A.",American,active c. 1935,https://web.archive.org/web/20121007172955/https://www.nga.gov/cgi-bin/tsearch?artistid=8232
"Zaidenberg, Arthur",American,1903 - 1990,https://web.archive.org/web/20121007172955/https://www.nga.gov/cgi-bin/tsearch?artistid=34154
"Zaisinger, Matthäus",German,active c. 1500,https://web.archive.org/web/20121007172955/https://www.nga.gov/cgi-bin/tsearch?artistid=4910
"Zajac, Jack",American,born 1929,https://web.archive.org/web/20121007172955/https://www.nga.gov/cgi-bin/tsearch?artistid=3450
"Zak, Eugène",Polish,1884 - 1926,https://web.archive.org/web/20121007172955/https://www.nga.gov/cgi-bin/tsearch?artistid=1986
"Zakharov, Gurii Fillipovich",Russian,born 1926,https://web.archive.org/web/20121007172955/https://www.nga.gov/cgi-bin/tsearch?artistid=3451
"Zakowortny, Igor",NA,NA,https://web.archive.org/web/20121007172955/https://www.nga.gov/cgi-bin/tsearch?artistid=20099
"Zalce, Alfredo",Mexican,born 1908,https://web.archive.org/web/20121007172955/https://www.nga.gov/cgi-bin/tsearch?artistid=3452
"Zalopany, Michele",American,born 1955,https://web.archive.org/web/20121007172955/https://www.nga.gov/cgi-bin/tsearch?artistid=34309
"Zammiello, Craig",NA,NA,https://web.archive.org/web/20121007172955/https://www.nga.gov/cgi-bin/tsearch?artistid=27191
"Zammitt, Norman",American,born 1931,https://web.archive.org/web/20121007172955/https://www.nga.gov/cgi-bin/tsearch?artistid=5846
"Zampieri, Domenico",Italian,1581 - 1641,https://web.archive.org/web/20121007172955/https://www.nga.gov/cgi-bin/tsearch?artistid=3941
"Zampieri, called Domenichino, Domenico",Italian,1581 - 1641,https://web.archive.org/web/20121007172955/https://www.nga.gov/cgi-bin/tsearch?artistid=3941
"Zanartú, Enrique Antunez",Chilean,born 1921,https://web.archive.org/web/20121007172955/https://www.nga.gov/cgi-bin/tsearch?artistid=3453
"Zanchi, Antonio",Italian,1631 - 1722,https://web.archive.org/web/20121007172955/https://www.nga.gov/cgi-bin/tsearch?artistid=35173
"Zanetti, Anton Maria",Italian,1679/1680 - 1767,https://web.archive.org/web/20121007172955/https://www.nga.gov/cgi-bin/tsearch?artistid=11133
"Zanetti Borzino, Leopoldina",Italian,1826 - 1902,https://web.archive.org/web/20121007172955/https://www.nga.gov/cgi-bin/tsearch?artistid=3455
"Zanetti I, Antonio Maria, conte",Italian,1680 - 1757,https://web.archive.org/web/20121007172955/https://www.nga.gov/cgi-bin/tsearch?artistid=3454
"Zanguidi, Jacopo",Italian,1544 - 1573/1574,https://web.archive.org/web/20121007172955/https://www.nga.gov/cgi-bin/tsearch?artistid=961
"Zanini, Giuseppe",Italian,c. 1599 - 1631,https://web.archive.org/web/20121007172955/https://www.nga.gov/cgi-bin/tsearch?artistid=11597
"Zanini-Viola, Giuseppe",Italian,c. 1599 - 1631,https://web.archive.org/web/20121007172955/https://www.nga.gov/cgi-bin/tsearch?artistid=11597
"Zanotti, Giampietro",Italian,1674 - 1765,https://web.archive.org/web/20121007172955/https://www.nga.gov/cgi-bin/tsearch?artistid=11631
